Número de trade;Instrumento;Cuenta;Estrategia;Mercado pos.;Cant.;Precio de entrada;Precio de salida;Tiempo de entrada;Tiempo de salida;Nombre de entrada;Nombre de salida;Ganancias;Con ganancia neto;Comisión;MAE;MFE;ETD;Barras;
184;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Long;1;5946,00;5930,25;16/05/2025 9:24:20 a m;16/05/2025 9:42:22 a m;Entry;Stop2;-$ 78,75;$ 1736,25;$ 0,00;$ 78,75;$ 12,50;$ 91,25;0;
185;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Long;1;5946,00;5930,25;16/05/2025 9:24:20 a m;16/05/2025 9:42:22 a m;Entry;Stop1;-$ 78,75;$ 1657,50;$ 0,00;$ 78,75;$ 12,50;$ 91,25;0;
186;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Long;1;5937,25;5968,00;16/05/2025 9:54:50 a m;16/05/2025 1:40:11 p m;Entry;Target3;$ 153,75;$ 1811,25;$ 0,00;$ 15,00;$ 157,50;$ 3,75;0;
187;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Long;1;5937,25;5968,00;16/05/2025 9:54:50 a m;16/05/2025 1:40:11 p m;Entry;Target2;$ 153,75;$ 1965,00;$ 0,00;$ 15,00;$ 157,50;$ 3,75;0;
188;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Long;1;5937,25;5968,00;16/05/2025 9:54:50 a m;16/05/2025 1:40:11 p m;Entry;Target1;$ 153,75;$ 2118,75;$ 0,00;$ 15,00;$ 157,50;$ 3,75;0;
189;MES JUN25;Sim101;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Long;1;5970,25;5955,25;20/05/2025 9:45:09 a m;20/05/2025 10:00:26 a m;Entry;Stop1;-$ 75,00;$ 2043,75;$ 0,00;$ 75,00;$ 3,75;$ 78,75;0;
190;MES JUN25;Sim101;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Long;1;5970,25;5955,25;20/05/2025 9:45:09 a m;20/05/2025 10:00:26 a m;Entry;Stop2;-$ 75,00;$ 1968,75;$ 0,00;$ 75,00;$ 3,75;$ 78,75;0;
191;MES JUN25;Sim101;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Long;1;5970,25;5955,25;20/05/2025 9:45:09 a m;20/05/2025 10:00:26 a m;Entry;Stop3;-$ 75,00;$ 1893,75;$ 0,00;$ 75,00;$ 3,75;$ 78,75;0;
192;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Long;1;5966,50;5951,50;20/05/2025 12:28:27 p m;20/05/2025 1:21:12 p m;Entry;Stop1;-$ 75,00;$ 1818,75;$ 0,00;$ 75,00;$ 3,75;$ 78,75;0;
193;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Long;1;5966,50;5951,50;20/05/2025 12:28:27 p m;20/05/2025 1:21:12 p m;Entry;Stop3;-$ 75,00;$ 1743,75;$ 0,00;$ 75,00;$ 3,75;$ 78,75;0;
194;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Long;1;5966,50;5951,50;20/05/2025 12:28:27 p m;20/05/2025 1:21:12 p m;Entry;Stop2;-$ 75,00;$ 1668,75;$ 0,00;$ 75,00;$ 3,75;$ 78,75;0;
195;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Long;3;5936,25;5956,50;20/05/2025 2:09:12 p m;20/05/2025 3:34:00 p m;Entry;Cerrar;$ 303,75;$ 1972,50;$ 0,00;$ 22,50;$ 371,25;$ 67,50;0;
